Date,Type,Title,Info,Currency,Amount,"Fees & Taxes",Net
"March 31, 2022",VAT,"VAT: renew sold","renew sold: 1069859018",EUR,--,-€0.04,-€0.04
"March 31, 2022",Fee,"Listing fee ($0.20 USD)","Listing #1069859018",EUR,--,-€0.18,-€0.18
"March 31, 2022",Fee,"Credit for transaction fee on Elegant A-Line Off Shoulder Puff Sleeve ...","Order #2428293700",EUR,--,€1.36,€1.36
"March 31, 2022",VAT,"VAT: transaction credit","transaction credit: 2952443665",EUR,--,€0.29,€0.29
"March 31, 2022",VAT,"VAT: Processing Fee","order: 2428293700",EUR,--,€0.24,€0.24
"March 31, 2022",Fee,"Credit for processing fee","Order #2428293700",EUR,--,€1.12,€1.12
"March 31, 2022",Tax,"Refund to buyer for sales tax","Order #2428293700",EUR,--,€1.59,€1.59
"March 31, 2022",Refund,"Partial refund to buyer for Order #2428293700",,EUR,-€28.03,--,-€28.03
"March 31, 2022",VAT,"VAT: transaction","transaction: 2952443665",EUR,--,-€4.51,-€4.51
"March 31, 2022",VAT,"VAT: renew","renew: 1139629036",EUR,--,-€0.04,-€0.04
"March 31, 2022",VAT,"VAT: Processing Fee","order: 2428293700",EUR,--,-€3.79,-€3.79
"March 31, 2022",Fee,"Transaction fee: Elegant A-Line Off Shoulder Puff Sleeve ...","Order #2428293700",EUR,--,-€21.47,-€21.47
"March 31, 2022",Fee,"Processing fee","Order #2428293700",EUR,--,-€18.05,-€18.05
"March 31, 2022",Tax,"Sales tax paid by buyer","Order #2428293700",EUR,--,-€25.12,-€25.12
"March 31, 2022",Sale,"Payment for Order #2428293700",,EUR,€443.83,--,€443.83
"March 31, 2022",Fee,"Listing fee ($0.20 USD)","Listing #1139629036",EUR,--,-€0.18,-€0.18
"March 29, 2022",Deposit,"€372.61 sent to your bank account",,EUR,--,--,--
"March 29, 2022",VAT,"VAT: renew sold","renew sold: 1157390851",EUR,--,-€0.04,-€0.04
"March 29, 2022",Fee,"Listing fee ($0.20 USD)","Listing #1157390851",EUR,--,-€0.18,-€0.18
"March 28, 2022",VAT,"VAT: transaction","transaction: 2943977142",EUR,--,-€4.54,-€4.54
"March 28, 2022",VAT,"VAT: Processing Fee","order: 2425610157",EUR,--,-€3.90,-€3.90
"March 28, 2022",Fee,"Processing fee","Order #2425610157",EUR,--,-€18.57,-€18.57
"March 28, 2022",Fee,"Transaction fee: Boho A-Line Short Sleeve Wedding Dress |...","Order #2425610157",EUR,--,-€21.63,-€21.63
"March 28, 2022",Tax,"Sales tax paid by buyer","Order #2425610157",EUR,--,-€35.00,-€35.00
"March 28, 2022",Sale,"Payment for Order #2425610157",,EUR,€456.69,--,€456.69
"March 28, 2022",VAT,"VAT: renew sold","renew sold: 1069859018",EUR,--,-€0.04,-€0.04
"March 28, 2022",Fee,"Listing fee ($0.20 USD)","Listing #1069859018",EUR,--,-€0.18,-€0.18
"March 28, 2022",Deposit,"€409.96 sent to your bank account",,EUR,--,--,--
"March 28, 2022",VAT,"VAT: auto-renew expired","auto-renew expired: 868934224",EUR,--,-€0.04,-€0.04
"March 28, 2022",Fee,"Listing fee ($0.20 USD)","Listing #868934224",EUR,--,-€0.18,-€0.18
"March 28, 2022",VAT,"VAT: auto-renew expired","auto-renew expired: 868943476",EUR,--,-€0.04,-€0.04
"March 28, 2022",Fee,"Listing fee ($0.20 USD)","Listing #868943476",EUR,--,-€0.18,-€0.18
"March 26, 2022",VAT,"VAT: transaction","transaction: 2940560582",EUR,--,-€4.54,-€4.54
"March 26, 2022",VAT,"VAT: shipping transaction",,EUR,--,-€0.47,-€0.47
"March 26, 2022",VAT,"VAT: Processing Fee","order: 2422527778",EUR,--,-€4.36,-€4.36
"March 26, 2022",Fee,"Transaction fee: Shipping","Order #2422527778",EUR,--,-€2.23,-€2.23
"March 26, 2022",Fee,"Transaction fee: Elegant A-Line Off Shoulder Puff Sleeve ...","Order #2422527778",EUR,--,-€21.63,-€21.63
"March 26, 2022",Tax,"Sales tax paid by buyer","Order #2422527778",EUR,--,-€46.53,-€46.53
"March 26, 2022",Fee,"Processing fee","Order #2422527778",EUR,--,-€20.77,-€20.77
"March 26, 2022",Sale,"Payment for Order #2422527778",,EUR,€511.81,--,€511.81
"March 24, 2022",VAT,"VAT: listing","listing: 1188646764",EUR,--,-€0.04,-€0.04
"March 24, 2022",Fee,"Listing fee ($0.20 USD)","Listing #1188646764",EUR,--,-€0.18,-€0.18
"March 24, 2022",VAT,"VAT: listing","listing: 1202592991",EUR,--,-€0.04,-€0.04
"March 24, 2022",Fee,"Listing fee ($0.20 USD)","Listing #1202592991",EUR,--,-€0.18,-€0.18
"March 24, 2022",VAT,"VAT: listing","listing: 1188464392",EUR,--,-€0.04,-€0.04
"March 24, 2022",Fee,"Listing fee ($0.20 USD)","Listing #1188464392",EUR,--,-€0.18,-€0.18
"March 24, 2022",VAT,"VAT: auto-renew expired","auto-renew expired: 864650616",EUR,--,-€0.04,-€0.04
"March 24, 2022",Fee,"Listing fee ($0.20 USD)","Listing #864650616",EUR,--,-€0.18,-€0.18
"March 23, 2022",Deposit,"€1,136.28 sent to your bank account",,EUR,--,--,--
"March 22, 2022",VAT,"VAT: transaction","transaction: 2935631392",EUR,--,-€4.36,-€4.36
"March 22, 2022",VAT,"VAT: Processing Fee","order: 2419150997",EUR,--,-€3.78,-€3.78
"March 22, 2022",Fee,"Transaction fee: Simple A-Line Deep V Neck Wedding Dress ...","Order #2419150997",EUR,--,-€20.77,-€20.77
"March 22, 2022",Tax,"Sales tax paid by buyer","Order #2419150997",EUR,--,-€38.07,-€38.07
"March 22, 2022",Fee,"Processing fee","Order #2419150997",EUR,--,-€18.02,-€18.02
"March 22, 2022",Sale,"Payment for Order #2419150997",,EUR,€443.04,--,€443.04
"March 22, 2022",VAT,"VAT: transaction","transaction: 2939529557",EUR,--,-€4.61,-€4.61
"March 22, 2022",VAT,"VAT: shipping transaction",,EUR,--,-€0.28,-€0.28
"March 22, 2022",VAT,"VAT: Processing Fee","order: 2418844154",EUR,--,-€3.87,-€3.87
"March 22, 2022",Fee,"Processing fee","Order #2418844154",EUR,--,-€18.44,-€18.44
"March 22, 2022",Fee,"Transaction fee: Shipping","Order #2418844154",EUR,--,-€1.32,-€1.32
"March 22, 2022",Fee,"Transaction fee: Boho Ball Gown Strapless Wedding Dress |...","Order #2418844154",EUR,--,-€21.94,-€21.94
"March 22, 2022",Sale,"Payment for Order #2418844154",,EUR,€453.48,--,€453.48
"March 22, 2022",VAT,"VAT: auto-renew sold ","auto-renew sold : 864651996",EUR,--,-€0.04,-€0.04
"March 22, 2022",Fee,"Listing fee ($0.20 USD)","Listing #864651996",EUR,--,-€0.18,-€0.18
"March 22, 2022",VAT,"VAT: renew sold","renew sold: 864651996",EUR,--,-€0.04,-€0.04
"March 22, 2022",Fee,"Listing fee ($0.20 USD)","Listing #864651996",EUR,--,-€0.18,-€0.18
"March 22, 2022",VAT,"VAT: renew sold","renew sold: 1067756190",EUR,--,-€0.04,-€0.04
"March 22, 2022",Fee,"Listing fee ($0.20 USD)","Listing #1067756190",EUR,--,-€0.18,-€0.18
"March 22, 2022",VAT,"VAT: listing","listing: 1201262631",EUR,--,-€0.04,-€0.04
"March 22, 2022",Fee,"Listing fee ($0.20 USD)","Listing #1201262631",EUR,--,-€0.18,-€0.18
"March 22, 2022",VAT,"VAT: listing","listing: 1201261393",EUR,--,-€0.04,-€0.04
"March 22, 2022",Fee,"Listing fee ($0.20 USD)","Listing #1201261393",EUR,--,-€0.18,-€0.18
"March 22, 2022",VAT,"VAT: listing","listing: 1187302990",EUR,--,-€0.04,-€0.04
"March 22, 2022",Fee,"Listing fee ($0.20 USD)","Listing #1187302990",EUR,--,-€0.18,-€0.18
"March 22, 2022",VAT,"VAT: listing","listing: 1187299736",EUR,--,-€0.04,-€0.04
"March 22, 2022",Fee,"Listing fee ($0.20 USD)","Listing #1187299736",EUR,--,-€0.18,-€0.18
"March 22, 2022",VAT,"VAT: shipping transaction",,EUR,--,-€0.28,-€0.28
"March 22, 2022",VAT,"VAT: transaction","transaction: 2938867421",EUR,--,-€4.29,-€4.29
"March 22, 2022",VAT,"VAT: Processing Fee","order: 2418362616",EUR,--,-€3.63,-€3.63
